City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
398,Dutse,11.7594,9.3392,74.17,17,81,9.69,NG,1675886843
399,Pumiao,22.75,108.4833,63.59,97,100,4.29,CN,1675886844
400,Luan,46.3592,6.9759,21.83,91,27,5.1,CH,1675886845
401,Emba,48.8264,58.1442,-4.95,94,5,6.8,KZ,1675886846
402,Laurentides,46.4334,-74.9826,33.71,90,100,7.09,CA,1675886847
403,Omsukchan,62.5333,155.8,-40.49,99,71,3.85,RU,1675886848
404,Talnakh,69.4865,88.3972,-6.11,96,100,8.93,RU,1675886849
405,Mugur-aksy,50.35,90.5,0.39,91,99,4.54,RU,1675886850
406,Vangaindrano,-23.35,47.6,73.94,93,99,5.95,MG,1675886851
407,Birin,26.8865,88.0718,47.98,67,19,3.18,NP,1675886851
408,Curuca,-0.7289,-47.8481,79.09,84,100,5.64,BR,1675886852
409,Santa pola,38.1917,-0.5658,54.25,83,40,9.22,ES,1675886853
410,Caravelas,-17.7125,-39.2481,81.34,69,56,9.91,BR,1675886854
411,Bellmead,31.594,-97.1089,48.27,92,100,11.5,US,1675886855
412,Helena,46.5927,-112.0361,36.59,49,100,25.32,US,1675886856
413,Fengkou,30.0833,113.2667,44.6,88,100,11.61,CN,1675886857
414,Northam,51.0333,-4.2167,44.62,83,94,9.62,GB,1675886858
415,Yarada,17.65,83.2667,73.72,100,20,2.3,IN,1675886860
416,Khandbari,27.3747,87.2039,52.54,76,52,1.97,NP,1675886860
417,Siteki,-26.45,31.95,66.65,99,100,5.61,SZ,1675886861
418,Port hedland,-20.3167,118.5667,82.45,89,40,6.91,AU,1675886862
419,Valday,57.9747,33.2525,28.42,97,100,7.85,RU,1675886862
420,Drumnadrochit,57.3344,-4.4799,38.89,87,100,13.49,GB,1675886863
421,Sambava,-14.2667,50.1667,75.79,90,52,8.08,MG,1675886863
422,Milkovo,54.7167,158.6167,-2.56,99,100,2.21,RU,1675886864
423,Ereymentau,51.6199,73.1033,-5.19,100,95,2.51,KZ,1675886865
